donation_id,declaration_id,association_id,outcome,matched_at,transport_cost_eur,distance_km
d7118f59-91ba-4bf7-b06d-b5105224ff2f,32ff0441-064d-4ec8-b34f-321073608232,c6506340-0e3c-47d8-ab5d-7e7c977db914,accepted,2025-11-23 15:22:39.671787,372.32,239.14
f34a5b25-0fe8-4182-b470-1bf4ec706311,c3fa236d-8172-4a88-8eaa-f8c6d72d19a1,035d6ccf-b693-430c-8819-45ff5c725d89,accepted,2025-06-03 21:04:37.080804,356.96,460.4
68cd265b-1514-4989-8454-76d4b6546022,eb4f49a8-8ba2-4a6b-a8b7-f719482666eb,9018fed1-b9a6-43d5-ab86-6c5e27adf7d5,pending,2025-08-25 22:38:24.847342,35.54,483.9
f780d912-c7a1-4dcd-aedc-dbc2ee6d461d,5e1d56f4-3064-47e3-8985-3193c98f92f6,63ece0b3-1ef0-4c25-81ca-851af79de572,accepted,2025-06-10 18:14:59.190919,291.46,749.67
47a3f665-bd55-4e05-9901-da0689434028,59c1cbfd-3207-44e7-a351-6142be099e9a,0f3a939b-b21c-4d3e-8425-1a42711e85c7,rejected,2025-07-26 23:45:42.575957,134.24,785.99
169db50e-8187-4355-9e88-a434b41c37dc,b24b4775-27e7-4274-97f7-405956e7d3d0,56c13f9a-ebc7-4bc0-8967-557465e7294a,rejected,2026-03-09 19:07:12.042235,62.59,568.63
20c93941-8cad-4b8c-9894-5ccc85f40f99,204dd8d0-6481-41be-b06e-c2009c0f30d7,035d6ccf-b693-430c-8819-45ff5c725d89,rejected,2025-07-28 16:30:47.308867,234.38,215.84
21c00cec-c079-4563-888d-111cefb75227,11ca05cf-a891-4f0a-b3e5-3577e2511447,97c01076-a980-4464-89ea-fec17a4f5dcb,accepted,2026-02-08 20:35:44.327685,143.2,90.89
c3b09c4a-71c4-4f1b-ae2e-581b09cb333c,06b50e24-b555-42f3-8ff3-3ead53146b33,4c4c3331-66e3-48c2-b51b-b539603203e1,accepted,2025-11-07 00:56:24.401130,371.64,775.44
525b99f8-e121-4a42-8b6c-03e6c74ea8ae,98f6f388-5a09-4644-b8fc-0834f69211f5,27e68da6-e956-402b-82f7-f7c8cfc39e90,accepted,2025-04-07 15:18:38.178607,201.78,439.09
25e159da-a3a8-4270-a9cb-063d918f686c,dc164af1-3157-4c0c-96fa-74502a33e296,c692f093-256c-44d3-be28-270059633f56,rejected,2025-06-25 06:51:12.796569,297.47,607.8
e1db5a1e-91e3-4dbc-a38f-ea6ba824b623,471f0e87-c4bf-41c9-b8b6-b090fd67637a,b3ea8d09-e790-4887-95b1-dc707dca7b71,accepted,2026-03-05 03:36:43.777309,403.61,31.56
03436cd8-2b9a-4ddd-accc-0bcf9f4d5212,e2eff2bd-b74f-4a95-97fa-856b7cfc9695,26a3c629-775f-47fe-9bf2-fed97b57847e,accepted,2026-02-26 03:20:37.906340,70.27,276.74
b44d0fc4-fe6d-4f62-8222-f09122baea25,9994233f-ee2d-43ea-879a-a07ea882c9f4,00a10016-7c15-4db1-9c47-5e1230b78936,accepted,2026-01-11 13:12:15.386069,56.0,753.76
09b02829-425c-490c-b674-81841a168627,49163fd6-79cd-40ec-8196-45d3af566c0b,586992ed-a9e3-4bf9-9818-cf57262f3b16,accepted,2025-04-19 00:07:49.033626,314.55,388.78
6f542f39-77bd-4dc9-9244-d35f0b905e3b,53e0964c-25de-4059-bf28-1666f62249d3,11d1e926-5c44-447c-87fd-2982a0af2db4,pending,2025-06-01 23:48:42.221378,99.2,712.35
1aa644de-e535-4677-8b95-f10ba79440e7,caece541-8ec7-4d86-98d1-2836d012d9d4,4c4c3331-66e3-48c2-b51b-b539603203e1,accepted,2025-11-05 02:11:04.203911,118.66,156.04
e815eee5-9fb2-4dfc-9375-6c76de9992b2,41989530-ba71-4684-8774-032613c977ef,389371b8-47c5-482a-a759-abccc2a88c3a,rejected,2026-03-06 04:54:50.280200,370.39,215.89
69e656b3-5104-4ec9-98a2-52422adde62d,67e4e134-ff03-4b7e-b1e4-705ea360d944,afc5b393-2c72-44ad-a624-258166f88025,accepted,2025-04-03 23:54:07.708261,43.83,459.56
